S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
0.100,-0.136,-1.020,0.040,-0.196,-1.248
0.084,-0.104,-1.028,0.016,-0.248,-1.228
0.020,-0.196,-1.020,0.064,-0.176,-1.248
0.100,-0.148,-1.016,0.060,-0.176,-1.244
0.052,-0.192,-1.020,0.044,-0.252,-1.228
0.140,-0.020,-1.024,0.040,-0.096,-1.256
0.108,-0.112,-1.032,0.040,-0.116,-1.252
0.104,-0.188,-1.012,0.032,-0.320,-1.216
0.124,-0.024,-1.024,0.060,-0.116,-1.252
0.172,-0.008,-1.020,0.076,-0.144,-1.240
0.060,-0.152,-1.024,-0.008,-0.272,-1.236
0.108,-0.168,-1.016,0.060,-0.228,-1.212
0.048,-0.244,-1.008,0.056,-0.216,-1.224
0.092,-0.164,-1.012,0.012,-0.224,-1.240
0.068,-0.272,-1.012,0.072,-0.144,-1.228
0.160,-0.096,-1.008,0.052,-0.120,-1.236
0.152,-0.132,-1.012,0.028,-0.360,-1.212
0.124,-0.032,-1.024,0.036,0.044,-1.260
0.056,-0.172,-1.016,0.048,0.004,-1.268
0.092,-0.116,-1.028,0.008,-0.408,-1.196
0.116,-0.292,-0.996,0.040,-0.152,-1.248
0.104,-0.268,-1.004,0.032,-0.188,-1.248
0.124,-0.172,-1.008,0.068,-0.084,-1.232
0.084,-0.100,-1.020,0.020,-0.336,-1.232
0.088,-0.112,-1.024,0.020,-0.368,-1.228
0.128,-0.124,-1.016,0.032,-0.080,-1.244
0.140,-0.084,-1.024,0.012,-0.380,-1.216
0.128,-0.124,-1.020,0.008,-0.344,-1.220
0.000,-0.228,-1.016,0.080,-0.068,-1.248
0.064,-0.264,-1.004,0.072,-0.108,-1.248
0.064,-0.152,-1.016,0.024,-0.252,-1.240
0.104,-0.216,-1.012,0.036,-0.216,-1.228
0.124,-0.084,-1.020,0.052,-0.148,-1.240
0.028,-0.148,-1.024,0.004,-0.260,-1.236
0.060,-0.124,-1.020,0.080,-0.092,-1.236
0.044,-0.220,-1.016,0.072,-0.088,-1.236
0.072,-0.132,-1.016,0.024,-0.328,-1.228
0.056,-0.140,-1.028,0.036,-0.104,-1.240
0.040,-0.264,-1.004,0.032,-0.116,-1.240
-0.008,-0.300,-1.016,0.048,-0.260,-1.236
0.128,-0.080,-1.020,0.040,-0.216,-1.236
0.068,-0.084,-1.032,0.048,-0.260,-1.236
0.124,-0.044,-1.032,0.040,-0.096,-1.252
0.072,-0.196,-1.016,0.012,-0.372,-1.220
0.040,-0.168,-1.024,0.004,-0.388,-1.216
0.116,-0.176,-1.012,0.068,-0.072,-1.252
0.076,-0.184,-1.016,0.032,-0.316,-1.216
0.124,-0.092,-1.024,0.040,-0.300,-1.216
0.072,-0.160,-1.016,0.048,-0.136,-1.256
0.068,-0.144,-1.024,0.012,-0.276,-1.220
0.136,-0.100,-1.016,0.004,-0.252,-1.220
0.116,-0.108,-1.020,0.068,-0.192,-1.244
0.168,-0.088,-1.020,0.036,-0.216,-1.232
0.048,-0.268,-1.008,0.040,-0.232,-1.228
0.064,-0.208,-1.016,0.040,-0.152,-1.244
0.056,-0.116,-1.028,0.032,-0.268,-1.228
0.056,-0.056,-1.032,0.056,-0.188,-1.236
0.040,-0.276,-1.012,0.024,-0.280,-1.232
0.140,-0.132,-1.004,0.048,-0.076,-1.244
0.088,-0.120,-1.020,0.028,-0.036,-1.256
0.116,-0.056,-1.024,0.032,-0.452,-1.204
0.080,-0.108,-1.024,0.036,-0.016,-1.256
0.140,-0.120,-1.016,0.056,0.016,-1.264
0.120,-0.096,-1.020,-0.008,-0.396,-1.204
0.168,-0.024,-1.024,0.080,-0.084,-1.248
0.048,-0.284,-1.004,0.072,-0.112,-1.248
0.076,-0.204,-1.024,0.020,-0.268,-1.236
0.092,-0.220,-1.012,0.036,-0.188,-1.228
0.076,-0.064,-1.024,0.052,-0.132,-1.232
0.112,-0.064,-1.020,0.004,-0.260,-1.236
0.012,-0.188,-1.028,0.084,-0.128,-1.236
0.072,-0.224,-1.004,0.076,-0.132,-1.236
0.072,-0.144,-1.016,0.012,-0.264,-1.236
0.084,-0.152,-1.020,0.048,-0.164,-1.224
0.128,-0.204,-1.004,0.080,-0.060,-1.240
0.080,-0.084,-1.016,-0.008,-0.364,-1.220
0.120,-0.048,-1.020,0.076,-0.004,-1.256
0.052,-0.192,-1.012,0.060,0.024,-1.264
0.080,-0.152,-1.024,0.012,-0.484,-1.196
0.088,-0.160,-1.016,0.052,0.012,-1.260
0.012,-0.224,-1.020,0.076,0.040,-1.268
0.012,-0.232,-1.016,-0.020,-0.400,-1.208
0.008,-0.232,-1.016,0.088,-0.060,-1.244
0.144,0.036,-1.024,0.080,-0.084,-1.244
0.112,-0.036,-1.036,0.012,-0.308,-1.232
0.076,-0.116,-1.024,0.048,-0.136,-1.228
0.052,-0.128,-1.028,0.068,-0.056,-1.240
0.048,-0.196,-1.020,-0.008,-0.352,-1.220
0.148,-0.160,-1.012,0.088,-0.024,-1.244
0.100,-0.108,-1.024,0.072,-0.016,-1.248
0.104,-0.156,-1.020,0.012,-0.408,-1.216
0.100,-0.192,-1.012,0.076,-0.024,-1.252
0.092,0.036,-1.036,0.048,-0.060,-1.248
0.036,-0.172,-1.024,0.044,-0.292,-1.220
0.032,-0.128,-1.028,0.004,-0.244,-1.244
0.028,-0.304,-1.016,0.008,-0.276,-1.240
0.052,-0.240,-1.012,0.044,-0.128,-1.232
0.060,-0.180,-1.016,0.044,-0.316,-1.224
0.088,-0.120,-1.020,0.036,-0.384,-1.216
0.020,-0.172,-1.028,0.048,-0.096,-1.244
0.140,-0.052,-1.016,0.004,-0.324,-1.228
0.104,-0.048,-1.036,-0.004,-0.296,-1.228
0.120,-0.108,-1.024,0.048,-0.220,-1.224
0.068,-0.216,-1.012,0.040,-0.160,-1.236
0.028,-0.208,-1.020,0.036,-0.192,-1.240
0.112,-0.156,-1.012,0.052,-0.260,-1.232
0.080,-0.216,-1.016,0.004,-0.228,-1.236
0.136,-0.032,-1.032,0.000,-0.244,-1.240
0.088,-0.192,-1.004,0.052,-0.192,-1.216
0.096,-0.124,-1.024,0.032,-0.244,-1.240
0.124,-0.072,-1.024,0.052,-0.256,-1.244
0.176,-0.036,-1.024,0.016,-0.184,-1.240
0.096,-0.140,-1.020,0.044,-0.232,-1.228
0.008,-0.352,-1.004,0.032,-0.208,-1.236
0.036,-0.272,-1.008,0.028,-0.308,-1.224
0.088,-0.116,-1.016,0.060,-0.096,-1.252
0.120,-0.204,-1.012,0.068,-0.108,-1.252
0.148,-0.088,-1.012,0.040,-0.304,-1.224
0.036,-0.096,-1.032,0.016,-0.212,-1.244
0.088,-0.120,-1.016,0.012,-0.260,-1.236
0.044,-0.164,-1.020,0.032,-0.180,-1.220
0.072,-0.128,-1.024,0.036,-0.276,-1.240
0.116,-0.340,-0.988,0.008,-0.400,-1.220
0.064,-0.328,-0.996,0.064,-0.020,-1.244
0.132,-0.136,-1.012,0.004,-0.460,-1.212
0.104,-0.028,-1.020,0.028,-0.488,-1.200
0.112,-0.048,-1.032,0.044,0.068,-1.268
0.104,-0.100,-1.024,0.052,0.012,-1.264
0.140,0.064,-1.032,0.068,-0.332,-1.208
0.000,-0.264,-1.020,0.036,-0.220,-1.240
0.040,-0.332,-1.004,0.032,-0.316,-1.228
0.000,-0.316,-1.020,0.012,-0.020,-1.256
0.120,-0.032,-1.028,0.032,-0.516,-1.192
0.140,-0.028,-1.032,0.032,-0.484,-1.188
0.064,-0.032,-1.036,0.072,0.028,-1.268
0.080,-0.168,-1.016,0.004,-0.376,-1.204
0.052,-0.100,-1.036,0.024,-0.296,-1.212
0.096,-0.160,-1.016,0.024,-0.236,-1.248
0.104,-0.168,-1.024,0.048,-0.184,-1.224
0.064,-0.200,-1.012,0.040,-0.160,-1.228
0.072,-0.084,-1.032,0.028,-0.332,-1.232
0.020,-0.104,-1.036,0.052,-0.072,-1.252
0.104,-0.180,-1.012,0.076,0.008,-1.252
0.092,-0.136,-1.028,0.008,-0.412,-1.216
0.120,-0.148,-1.020,0.056,-0.048,-1.244
0.076,-0.136,-1.024,0.048,-0.080,-1.248
0.016,-0.188,-1.024,0.012,-0.392,-1.220
0.124,-0.128,-1.016,0.064,-0.092,-1.236
0.100,-0.156,-1.016,0.084,-0.044,-1.244
0.140,-0.040,-1.028,0.008,-0.344,-1.228
0.068,-0.208,-1.016,0.056,-0.112,-1.232
0.060,-0.116,-1.024,0.044,-0.124,-1.236
0.096,-0.180,-1.012,0.004,-0.372,-1.220
0.056,-0.192,-1.016,0.076,-0.068,-1.244
0.152,-0.184,-1.004,0.088,0.008,-1.256
0.120,-0.096,-1.024,0.008,-0.428,-1.208
0.100,-0.156,-1.024,0.056,0.020,-1.256
0.084,-0.100,-1.020,0.060,-0.008,-1.256
0.048,-0.068,-1.032,-0.016,-0.464,-1.196
0.112,-0.180,-1.008,0.072,-0.040,-1.256
0.128,-0.152,-1.012,0.064,-0.028,-1.256
0.120,-0.124,-1.020,0.048,-0.336,-1.208
0.088,-0.184,-1.016,0.048,-0.084,-1.256
0.084,-0.152,-1.016,0.040,-0.112,-1.256
0.144,-0.020,-1.024,0.012,-0.316,-1.216
0.044,-0.152,-1.024,0.080,-0.136,-1.248
0.100,-0.104,-1.028,0.096,-0.116,-1.236
0.008,-0.380,-1.000,0.000,-0.300,-1.228
0.032,-0.260,-1.012,0.052,-0.116,-1.236
0.056,-0.144,-1.016,0.052,-0.108,-1.240
0.096,-0.204,-1.004,0.044,-0.284,-1.236
0.040,-0.256,-1.008,0.024,-0.184,-1.232
0.172,-0.008,-1.020,0.024,-0.216,-1.236
0.108,-0.016,-1.028,0.036,-0.140,-1.244
0.124,-0.076,-1.028,0.028,-0.372,-1.220
0.064,-0.244,-1.012,0.028,-0.360,-1.216
