Timestamp (ms), S1_X_g, S1_Y_g, S1_Z_g, S2_X_g, S2_Y_g, S2_Z_g
3382, -0.324, 0.212, -0.936, -0.148, 0.472, -1.112
3416, -0.328, 0.212, -0.936, -0.140, 0.480, -1.124
3452, -0.324, 0.208, -0.936, -0.148, 0.476, -1.132
3487, -0.324, 0.212, -0.940, -0.148, 0.460, -1.120
3522, -0.324, 0.208, -0.936, -0.144, 0.468, -1.120
3558, -0.328, 0.212, -0.932, -0.140, 0.476, -1.120
3593, -0.328, 0.208, -0.936, -0.140, 0.472, -1.120
3627, -0.328, 0.212, -0.932, -0.144, 0.472, -1.112
3663, -0.324, 0.208, -0.932, -0.148, 0.472, -1.124
3698, -0.324, 0.208, -0.936, -0.148, 0.472, -1.124
3734, -0.328, 0.212, -0.932, -0.144, 0.468, -1.120
3769, -0.328, 0.208, -0.936, -0.136, 0.476, -1.136
3804, -0.328, 0.212, -0.932, -0.136, 0.472, -1.120
3839, -0.328, 0.212, -0.932, -0.148, 0.476, -1.124
3874, -0.324, 0.212, -0.940, -0.140, 0.468, -1.120
3910, -0.324, 0.208, -0.932, -0.136, 0.476, -1.124
3945, -0.324, 0.208, -0.936, -0.148, 0.472, -1.124
3980, -0.324, 0.212, -0.936, -0.144, 0.472, -1.120
4016, -0.328, 0.216, -0.936, -0.144, 0.468, -1.128
4050, -0.324, 0.216, -0.936, -0.148, 0.472, -1.108
4085, -0.324, 0.212, -0.940, -0.156, 0.468, -1.104
4121, -0.324, 0.212, -0.932, -0.148, 0.468, -1.120
4156, -0.328, 0.208, -0.936, -0.144, 0.476, -1.124
4192, -0.328, 0.208, -0.936, -0.148, 0.472, -1.124
4226, -0.324, 0.212, -0.940, -0.144, 0.472, -1.120
4261, -0.324, 0.212, -0.936, -0.140, 0.468, -1.116
4297, -0.324, 0.208, -0.932, -0.140, 0.476, -1.128
4332, -0.324, 0.208, -0.936, -0.136, 0.472, -1.136
4368, -0.328, 0.212, -0.932, -0.140, 0.472, -1.132
4403, -0.328, 0.212, -0.928, -0.152, 0.468, -1.124
4437, -0.324, 0.208, -0.936, -0.144, 0.472, -1.116
4473, -0.328, 0.216, -0.936, -0.152, 0.464, -1.120
4508, -0.324, 0.204, -0.940, -0.140, 0.476, -1.132
4543, -0.328, 0.212, -0.940, -0.136, 0.476, -1.132
4579, -0.324, 0.208, -0.936, -0.148, 0.464, -1.128
4614, -0.324, 0.208, -0.936, -0.144, 0.476, -1.128
4649, -0.324, 0.208, -0.936, -0.144, 0.476, -1.116
4684, -0.324, 0.208, -0.936, -0.144, 0.472, -1.120
4719, -0.324, 0.212, -0.936, -0.148, 0.468, -1.128
4755, -0.324, 0.212, -0.936, -0.148, 0.476, -1.116
4790, -0.328, 0.212, -0.936, -0.144, 0.472, -1.120
4826, -0.324, 0.216, -0.940, -0.144, 0.476, -1.124
4860, -0.324, 0.208, -0.936, -0.140, 0.476, -1.132
4895, -0.324, 0.216, -0.936, -0.144, 0.472, -1.128
4931, -0.324, 0.212, -0.936, -0.140, 0.476, -1.124
4966, -0.324, 0.212, -0.936, -0.140, 0.472, -1.124
5001, -0.324, 0.208, -0.932, -0.144, 0.472, -1.124
5036, -0.324, 0.208, -0.936, -0.140, 0.476, -1.128
5071, -0.328, 0.216, -0.932, -0.148, 0.476, -1.116
5107, -0.320, 0.208, -0.936, -0.144, 0.476, -1.128
5142, -0.324, 0.208, -0.940, -0.152, 0.480, -1.112
5177, -0.324, 0.212, -0.936, -0.144, 0.472, -1.120
5213, -0.324, 0.212, -0.936, -0.140, 0.464, -1.120
5247, -0.328, 0.212, -0.932, -0.140, 0.476, -1.128
5282, -0.328, 0.212, -0.936, -0.144, 0.476, -1.116
5318, -0.324, 0.208, -0.936, -0.148, 0.476, -1.120
5353, -0.324, 0.212, -0.936, -0.140, 0.480, -1.128
5389, -0.320, 0.208, -0.932, -0.140, 0.480, -1.136
5424, -0.324, 0.216, -0.936, -0.144, 0.476, -1.120
5458, -0.324, 0.212, -0.932, -0.148, 0.468, -1.120
5494, -0.328, 0.212, -0.940, -0.148, 0.468, -1.124
5529, -0.316, 0.236, -0.960, -0.156, 0.492, -1.148
5565, -0.320, 0.208, -0.936, -0.148, 0.468, -1.120
5600, -0.328, 0.216, -0.948, -0.144, 0.476, -1.124
5634, -0.324, 0.212, -0.936, -0.148, 0.468, -1.120
5670, -0.328, 0.212, -0.936, -0.144, 0.468, -1.124
5705, -0.320, 0.212, -0.936, -0.140, 0.476, -1.128
5740, -0.328, 0.212, -0.936, -0.136, 0.476, -1.116
5776, -0.324, 0.212, -0.932, -0.152, 0.472, -1.120
5811, -0.324, 0.208, -0.936, -0.152, 0.468, -1.116
5846, -0.328, 0.212, -0.936, -0.140, 0.468, -1.120
5881, -0.324, 0.212, -0.932, -0.148, 0.468, -1.120
5916, -0.324, 0.204, -0.936, -0.140, 0.468, -1.128
5952, -0.328, 0.216, -0.936, -0.152, 0.476, -1.116
5987, -0.328, 0.212, -0.932, -0.140, 0.472, -1.120
6023, -0.328, 0.216, -0.936, -0.144, 0.472, -1.120
6057, -0.324, 0.212, -0.932, -0.140, 0.472, -1.132
6092, -0.324, 0.212, -0.936, -0.148, 0.468, -1.124
6128, -0.324, 0.212, -0.936, -0.144, 0.468, -1.116
6163, -0.324, 0.212, -0.940, -0.140, 0.476, -1.120
6198, -0.324, 0.212, -0.932, -0.152, 0.472, -1.116
6234, -0.324, 0.216, -0.940, -0.148, 0.480, -1.116
6268, -0.324, 0.212, -0.936, -0.144, 0.476, -1.124
6304, -0.324, 0.212, -0.936, -0.148, 0.460, -1.124
6339, -0.324, 0.208, -0.936, -0.140, 0.472, -1.116
6374, -0.328, 0.212, -0.940, -0.144, 0.472, -1.124
6410, -0.328, 0.212, -0.936, -0.136, 0.476, -1.124
6444, -0.324, 0.212, -0.936, -0.148, 0.468, -1.124
6480, -0.324, 0.208, -0.936, -0.148, 0.476, -1.120
6515, -0.328, 0.216, -0.940, -0.140, 0.472, -1.120
6550, -0.324, 0.208, -0.936, -0.140, 0.476, -1.124
6586, -0.328, 0.212, -0.932, -0.152, 0.468, -1.128
6621, -0.324, 0.208, -0.940, -0.148, 0.472, -1.120
6655, -0.328, 0.196, -0.928, -0.144, 0.536, -1.124
6691, -0.328, 0.220, -0.952, -0.140, 0.484, -1.144
6726, -0.144, 0.648, -0.692, -0.476, 1.152, -1.172
6762, -0.320, 0.200, -0.916, -0.148, 0.468, -1.124
6797, -0.328, 0.216, -0.932, -0.148, 0.472, -1.116
6832, -0.328, 0.216, -0.932, -0.148, 0.468, -1.124
6867, -0.328, 0.216, -0.936, -0.152, 0.468, -1.120
6902, -0.328, 0.220, -0.936, -0.148, 0.468, -1.108
6938, -0.324, 0.212, -0.932, -0.140, 0.476, -1.124
6973, -0.332, 0.220, -0.932, -0.144, 0.468, -1.132
7008, -0.324, 0.216, -0.936, -0.140, 0.476, -1.120
7044, -0.328, 0.216, -0.936, -0.152, 0.472, -1.108
7078, -0.324, 0.216, -0.936, -0.144, 0.476, -1.120
7113, -0.328, 0.216, -0.936, -0.152, 0.472, -1.116
7149, -0.328, 0.216, -0.936, -0.140, 0.480, -1.120
7184, -0.332, 0.216, -0.932, -0.152, 0.472, -1.132
7220, -0.328, 0.216, -0.936, -0.144, 0.468, -1.120
7254, -0.324, 0.216, -0.932, -0.144, 0.472, -1.112
7289, -0.328, 0.216, -0.936, -0.132, 0.480, -1.136
7325, -0.328, 0.216, -0.936, -0.152, 0.476, -1.108
7360, -0.328, 0.220, -0.936, -0.144, 0.476, -1.116
7396, -0.328, 0.216, -0.928, -0.148, 0.476, -1.112
7431, -0.328, 0.216, -0.936, -0.148, 0.472, -1.120
7465, -0.328, 0.212, -0.932, -0.148, 0.468, -1.116
7501, -0.328, 0.216, -0.936, -0.144, 0.472, -1.116
7536, -0.328, 0.216, -0.932, -0.152, 0.472, -1.124
7571, -0.328, 0.220, -0.932, -0.148, 0.468, -1.124
7607, -0.324, 0.216, -0.932, -0.148, 0.480, -1.120
7642, -0.324, 0.216, -0.932, -0.140, 0.476, -1.128
7677, -0.324, 0.208, -0.932, -0.148, 0.472, -1.112
7712, -0.328, 0.216, -0.932, -0.144, 0.472, -1.124
7747, -0.328, 0.220, -0.936, -0.144, 0.476, -1.120
7783, -0.328, 0.216, -0.932, -0.144, 0.476, -1.112
7818, -0.328, 0.216, -0.936, -0.144, 0.484, -1.124
7853, -0.328, 0.220, -0.936, -0.156, 0.472, -1.124
7888, -0.328, 0.216, -0.932, -0.140, 0.480, -1.124
7923, -0.328, 0.220, -0.932, -0.140, 0.480, -1.120
7959, -0.328, 0.220, -0.932, -0.148, 0.480, -1.124
7994, -0.324, 0.216, -0.936, -0.144, 0.476, -1.116
8029, -0.328, 0.212, -0.940, -0.148, 0.464, -1.124
8064, -0.328, 0.216, -0.932, -0.144, 0.476, -1.116
8099, -0.328, 0.216, -0.928, -0.152, 0.476, -1.128
8135, -0.328, 0.220, -0.936, -0.144, 0.472, -1.124
8170, -0.328, 0.216, -0.932, -0.144, 0.476, -1.120
8205, -0.332, 0.220, -0.936, -0.136, 0.468, -1.120
8241, -0.324, 0.212, -0.936, -0.144, 0.476, -1.120
8275, -0.328, 0.220, -0.928, -0.140, 0.476, -1.128
8311, -0.324, 0.216, -0.936, -0.148, 0.472, -1.132
8346, -0.324, 0.212, -0.940, -0.144, 0.476, -1.124
8381, -0.324, 0.216, -0.936, -0.144, 0.472, -1.124
8417, -0.328, 0.216, -0.936, -0.160, 0.468, -1.120
8452, -0.324, 0.216, -0.936, -0.148, 0.472, -1.112
8486, -0.324, 0.212, -0.936, -0.140, 0.476, -1.120
8522, -0.328, 0.216, -0.932, -0.148, 0.476, -1.128
8557, -0.328, 0.212, -0.936, -0.144, 0.468, -1.124
8593, -0.328, 0.212, -0.936, -0.152, 0.464, -1.124
8628, -0.328, 0.216, -0.940, -0.144, 0.472, -1.120
8662, -0.328, 0.220, -0.936, -0.148, 0.464, -1.128
8698, -0.328, 0.216, -0.932, -0.144, 0.472, -1.120
8733, -0.328, 0.216, -0.928, -0.148, 0.472, -1.120
8769, -0.328, 0.216, -0.932, -0.140, 0.480, -1.128
8804, -0.328, 0.216, -0.932, -0.148, 0.484, -1.116
8839, -0.328, 0.212, -0.936, -0.144, 0.476, -1.124
8874, -0.328, 0.220, -0.932, -0.144, 0.472, -1.128
8909, -0.328, 0.216, -0.932, -0.144, 0.476, -1.124
8944, -0.328, 0.212, -0.932, -0.140, 0.480, -1.116
8980, -0.328, 0.216, -0.936, -0.140, 0.468, -1.120
9015, -0.336, 0.228, -0.968, -0.460, 0.356, -1.184
9051, 0.188, 0.416, -0.804, -0.484, 0.712, -1.084
9085, -0.324, 0.228, -0.924, -0.152, 0.480, -1.120
9120, -0.332, 0.224, -0.936, -0.152, 0.472, -1.124
9156, -0.332, 0.224, -0.924, -0.148, 0.472, -1.112
9191, -0.328, 0.220, -0.932, -0.148, 0.468, -1.128
9227, -0.328, 0.220, -0.924, -0.144, 0.476, -1.124
9261, -0.332, 0.220, -0.928, -0.140, 0.480, -1.120
9296, -0.332, 0.220, -0.936, -0.144, 0.472, -1.124
9332, -0.332, 0.220, -0.932, -0.140, 0.480, -1.140
9367, -0.328, 0.220, -0.928, -0.148, 0.480, -1.116
9402, -0.328, 0.220, -0.932, -0.156, 0.472, -1.112
9438, -0.332, 0.224, -0.928, -0.152, 0.480, -1.120
9472, -0.328, 0.216, -0.932, -0.148, 0.472, -1.128
9508, -0.332, 0.220, -0.932, -0.144, 0.468, -1.120
9543, -0.332, 0.224, -0.928, -0.148, 0.480, -1.124
9578, -0.332, 0.220, -0.932, -0.152, 0.472, -1.120
9614, -0.328, 0.220, -0.928, -0.140, 0.472, -1.116
9649, -0.324, 0.220, -0.932, -0.144, 0.488, -1.128
9683, -0.328, 0.216, -0.928, -0.148, 0.480, -1.120
9719, -0.328, 0.220, -0.932, -0.140, 0.484, -1.124
9754, -0.332, 0.224, -0.936, -0.144, 0.484, -1.136
9790, -0.332, 0.224, -0.932, -0.148, 0.480, -1.128
9825, -0.328, 0.220, -0.928, -0.144, 0.476, -1.120
9860, -0.332, 0.224, -0.932, -0.148, 0.472, -1.124
9895, -0.332, 0.224, -0.932, -0.144, 0.480, -1.124
9930, -0.332, 0.220, -0.932, -0.144, 0.480, -1.112
9966, -0.328, 0.220, -0.932, -0.140, 0.484, -1.112
10001, -0.328, 0.224, -0.936, -0.148, 0.476, -1.136
10036, -0.328, 0.216, -0.936, -0.152, 0.472, -1.120
10071, -0.332, 0.224, -0.936, -0.148, 0.484, -1.112
10106, -0.332, 0.220, -0.936, -0.148, 0.472, -1.112
10142, -0.328, 0.220, -0.932, -0.144, 0.472, -1.116
10177, -0.328, 0.220, -0.932, -0.144, 0.476, -1.120
10213, -0.332, 0.220, -0.932, -0.148, 0.480, -1.116
10248, -0.332, 0.224, -0.932, -0.152, 0.468, -1.120
10282, -0.336, 0.220, -0.932, -0.148, 0.472, -1.120
10318, -0.332, 0.224, -0.932, -0.148, 0.480, -1.124
10353, -0.328, 0.220, -0.932, -0.144, 0.480, -1.112
10389, -0.332, 0.224, -0.932, -0.148, 0.476, -1.124
10424, -0.332, 0.224, -0.932, -0.148, 0.484, -1.120
10460, -0.328, 0.220, -0.932, -0.156, 0.472, -1.128
10494, -0.332, 0.220, -0.928, -0.144, 0.480, -1.136
10529, -0.328, 0.224, -0.936, -0.140, 0.476, -1.120
10565, -0.328, 0.220, -0.928, -0.152, 0.472, -1.120
10600, -0.328, 0.220, -0.936, -0.144, 0.472, -1.112
10636, -0.328, 0.220, -0.936, -0.148, 0.480, -1.124
10671, -0.332, 0.220, -0.932, -0.148, 0.472, -1.120
10706, -0.328, 0.220, -0.932, -0.156, 0.468, -1.108
10741, -0.328, 0.224, -0.928, -0.144, 0.476, -1.120
10776, -0.328, 0.220, -0.932, -0.144, 0.476, -1.112
10812, -0.332, 0.220, -0.932, -0.140, 0.480, -1.112
10847, -0.328, 0.220, -0.932, -0.156, 0.476, -1.120
10882, -0.328, 0.220, -0.932, -0.156, 0.472, -1.104
10917, -0.328, 0.220, -0.936, -0.148, 0.476, -1.124
10952, -0.324, 0.220, -0.932, -0.144, 0.476, -1.124
10988, -0.332, 0.224, -0.928, -0.148, 0.476, -1.124
11023, -0.328, 0.224, -0.928, -0.144, 0.468, -1.124
11059, -0.336, 0.224, -0.932, -0.140, 0.488, -1.124
11093, -0.332, 0.220, -0.928, -0.144, 0.476, -1.132
11129, -0.332, 0.220, -0.928, -0.148, 0.468, -1.124
11164, -0.332, 0.224, -0.936, -0.144, 0.480, -1.120
11199, -0.328, 0.216, -0.932, -0.148, 0.476, -1.120
11235, -0.332, 0.220, -0.932, -0.148, 0.480, -1.128
11270, -0.332, 0.224, -0.928, -0.152, 0.472, -1.124
11305, -0.332, 0.220, -0.928, -0.140, 0.472, -1.136
11340, -0.328, 0.216, -0.936, -0.152, 0.468, -1.120
11376, -0.332, 0.224, -0.932, -0.144, 0.480, -1.124
11411, -0.328, 0.220, -0.932, -0.144, 0.480, -1.120
11446, -0.332, 0.224, -0.928, -0.144, 0.480, -1.124
