S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
-0.084,-0.952,-1.496,0.084,-0.132,-1.032
-0.056,-0.832,-1.524,0.100,-0.152,-1.032
-0.104,-1.012,-1.468,0.024,-0.128,-1.040
-0.072,-0.860,-1.500,0.028,-0.240,-1.016
-0.024,-0.672,-1.524,0.012,-0.196,-1.028
-0.060,-0.784,-1.528,0.084,-0.104,-1.040
-0.040,-0.712,-1.536,0.072,-0.200,-1.020
-0.036,-0.728,-1.520,0.044,-0.212,-1.020
-0.052,-0.736,-1.544,0.108,-0.172,-1.036
-0.032,-0.640,-1.556,0.108,-0.180,-1.028
-0.044,-0.764,-.536,0.076,-0.188,-1.016
-0.044,-0.736,-1.528,0.040,-0.208,-1.016
-0.068,-0.896,-1.516,0.056,-0.092,-1.040
-0.040,-0.808,-1.524,0.100,-0.204,-1.032
-0.056,-0.836,-1.508,0.084,-0.256,-1.000
-0.032,-0.712,-1.528,0.088,-0.108,-1.020
-0.052,-0.740,-1.560,-0.004,-0.140,-1.044
-0.056,-0.732,-1.540,0.052,-0.224,-1.020
-0.064,-0.900,-1.508,0.072,-0.208,-1.024
-0.064,-0.844,-1.512,0.048,-0.132,-1.040
-0.084,-1.000,-1.480,0.016,-0.244,-1.028
-0.100,-0.996,-1.488,0.108,-0.096,-1.032
-0.104,-0.960,-1.472,0.104,-0.076,-1.036
-0.072,-0.936,-1.500,0.076,-0.228,-1.024
-0.060,-0.780,-1.516,0.060,-0.172,-1.032
-0.048,-0.808,-1.512,0.040,-0.084,-1.044
-0.096,-0.872,-1.508,0.032,-0.260,-1.012
-0.076,-0.976,-1.484,0.004,-0.296,-1.020
-0.092,-1.000,-1.484,0.116,-0.124,-1.028
-0.060,-0.904,-1.492,0.084,-0.224,-1.016
-0.076,-0.948,-1.492,0.048,-0.184,-1.028
-0.064,-0.776,-1.524,0.028,-0.112,-1.044
-0.056,-0.780,-1.524,0.044,-0.264,-1.012
-0.080,-0.868,-1.508,0.024,-0.292,-1.008
-0.032,-0.756,-1.540,0.136,-0.112,-1.032
-0.060,-0.912,-1.500,0.084,-0.040,-1.040
-0.044,-0.932,-1.500,0.052,-0.216,-1.028
-0.076,-0.876,-1.496,0.028,-0.156,-1.032
-0.060,-0.820,-1.528,0.092,-0.252,-1.008
-0.016,-0.688,-1.544,0.056,-0.212,-1.016
-0.048,-0.864,-1.512,0.088,-0.068,-1.044
-0.052,-0.820,-1.520,0.032,-0.188,-1.020
-0.072,-0.956,-1.484,0.044,-0.208,-1.024
