Timestamp (ms), S1_X_g, S1_Y_g, S1_Z_g, S2_X_g, S2_Y_g, S2_Z_g
3382, -0.320, 0.184, -0.948, -0.136, 0.424, -1.128
3416, -0.316, 0.180, -0.948, -0.140, 0.432, -1.136
3452, -0.320, 0.184, -0.944, -0.140, 0.428, -1.136
3487, -0.320, 0.180, -0.944, -0.144, 0.416, -1.136
3522, -0.320, 0.184, -0.944, -0.132, 0.428, -1.136
3558, -0.320, 0.184, -0.944, -0.140, 0.420, -1.132
3593, -0.316, 0.184, -0.944, -0.144, 0.420, -1.156
3627, -0.316, 0.180, -0.948, -0.148, 0.424, -1.144
3663, -0.316, 0.180, -0.948, -0.136, 0.424, -1.144
3698, -0.316, 0.180, -0.944, -0.136, 0.420, -1.152
3734, -0.320, 0.180, -0.940, -0.144, 0.428, -1.140
3769, -0.320, 0.184, -0.952, -0.140, 0.420, -1.140
3804, -0.316, 0.184, -0.948, -0.136, 0.428, -1.132
3839, -0.320, 0.180, -0.944, -0.136, 0.428, -1.144
3874, -0.316, 0.180, -0.944, -0.144, 0.416, -1.136
3910, -0.316, 0.184, -0.944, -0.140, 0.424, -1.152
3945, -0.316, 0.180, -0.944, -0.144, 0.428, -1.136
3980, -0.320, 0.184, -0.944, -0.136, 0.428, -1.148
4016, -0.320, 0.180, -0.944, -0.136, 0.428, -1.136
4050, -0.316, 0.184, -0.936, -0.136, 0.420, -1.140
4085, -0.316, 0.180, -0.940, -0.140, 0.428, -1.124
4121, -0.320, 0.184, -0.944, -0.144, 0.416, -1.144
4156, -0.316, 0.180, -0.944, -0.140, 0.416, -1.128
4192, -0.320, 0.180, -0.944, -0.140, 0.424, -1.140
4226, -0.316, 0.180, -0.948, -0.144, 0.424, -1.136
4261, -0.320, 0.184, -0.944, -0.136, 0.420, -1.136
4297, -0.320, 0.180, -0.940, -0.144, 0.420, -1.128
4332, -0.320, 0.184, -0.944, -0.140, 0.416, -1.148
4367, -0.320, 0.180, -0.948, -0.136, 0.428, -1.148
4403, -0.320, 0.180, -0.936, -0.140, 0.424, -1.136
4437, -0.320, 0.184, -0.944, -0.144, 0.420, -1.136
4473, -0.316, 0.180, -0.948, -0.140, 0.428, -1.136
4508, -0.320, 0.184, -0.944, -0.144, 0.424, -1.132
4543, -0.320, 0.180, -0.944, -0.144, 0.424, -1.128
4579, -0.320, 0.184, -0.940, -0.140, 0.428, -1.132
4614, -0.316, 0.180, -0.944, -0.136, 0.424, -1.140
4648, -0.316, 0.184, -0.948, -0.136, 0.428, -1.136
4684, -0.316, 0.180, -0.944, -0.144, 0.424, -1.136
4719, -0.316, 0.180, -0.948, -0.128, 0.432, -1.152
4755, -0.320, 0.180, -0.944, -0.136, 0.428, -1.136
4790, -0.320, 0.184, -0.944, -0.140, 0.428, -1.136
4824, -0.320, 0.184, -0.940, -0.140, 0.424, -1.132
4860, -0.316, 0.184, -0.944, -0.136, 0.428, -1.140
4895, -0.316, 0.184, -0.944, -0.144, 0.432, -1.140
4931, -0.316, 0.180, -0.944, -0.140, 0.432, -1.156
4966, -0.316, 0.184, -0.944, -0.136, 0.436, -1.136
5001, -0.320, 0.188, -0.944, -0.136, 0.428, -1.132
5036, -0.320, 0.184, -0.944, -0.140, 0.428, -1.128
5071, -0.324, 0.180, -0.944, -0.144, 0.424, -1.140
5106, -0.316, 0.184, -0.944, -0.136, 0.428, -1.136
5142, -0.320, 0.180, -0.940, -0.140, 0.424, -1.144
5177, -0.320, 0.180, -0.944, -0.140, 0.432, -1.128
5213, -0.316, 0.180, -0.940, -0.140, 0.428, -1.148
5247, -0.320, 0.184, -0.944, -0.148, 0.424, -1.120
5282, -0.320, 0.180, -0.936, -0.144, 0.420, -1.144
5318, -0.460, 0.360, -0.728, -0.268, 0.044, -0.908
5353, -0.384, 0.104, -0.952, -0.140, 0.416, -1.136
5388, -0.324, 0.180, -0.948, -0.132, 0.428, -1.144
5424, -0.324, 0.188, -0.944, -0.136, 0.424, -1.140
5458, -0.324, 0.184, -0.948, -0.140, 0.428, -1.128
5494, -0.316, 0.184, -0.944, -0.148, 0.420, -1.144
5529, -0.320, 0.184, -0.944, -0.140, 0.420, -1.140
5564, -0.320, 0.184, -0.948, -0.140, 0.420, -1.140
5600, -0.320, 0.184, -0.940, -0.140, 0.428, -1.140
5634, -0.328, 0.184, -0.944, -0.140, 0.424, -1.136
5669, -0.320, 0.180, -0.940, -0.144, 0.424, -1.136
5705, -0.320, 0.180, -0.944, -0.144, 0.420, -1.140
5740, -0.320, 0.188, -0.944, -0.140, 0.428, -1.136
5776, -0.324, 0.184, -0.944, -0.144, 0.424, -1.144
5811, -0.320, 0.180, -0.944, -0.136, 0.432, -1.132
5845, -0.320, 0.184, -0.944, -0.140, 0.424, -1.140
5881, -0.324, 0.184, -0.944, -0.144, 0.424, -1.132
5916, -0.324, 0.184, -0.940, -0.144, 0.424, -1.132
5951, -0.324, 0.180, -0.940, -0.144, 0.424, -1.140
5987, -0.324, 0.188, -0.940, -0.144, 0.424, -1.132
6022, -0.324, 0.184, -0.944, -0.140, 0.432, -1.136
6057, -0.320, 0.184, -0.944, -0.132, 0.424, -1.136
6092, -0.324, 0.180, -0.944, -0.132, 0.428, -1.144
6127, -0.324, 0.188, -0.944, -0.136, 0.428, -1.156
6163, -0.324, 0.184, -0.944, -0.132, 0.424, -1.144
6198, -0.328, 0.180, -0.940, -0.136, 0.432, -1.136
6234, -0.324, 0.184, -0.940, -0.144, 0.420, -1.128
6268, -0.324, 0.180, -0.940, -0.140, 0.420, -1.140
6303, -0.320, 0.180, -0.944, -0.140, 0.428, -1.132
6339, -0.320, 0.180, -0.940, -0.140, 0.424, -1.152
6374, -0.320, 0.184, -0.944, -0.140, 0.424, -1.144
6409, -0.320, 0.188, -0.944, -0.136, 0.428, -1.136
6444, -0.320, 0.180, -0.944, -0.136, 0.428, -1.140
6479, -0.320, 0.184, -0.940, -0.140, 0.428, -1.132
6515, -0.324, 0.180, -0.944, -0.144, 0.432, -1.128
6550, -0.320, 0.184, -0.940, -0.140, 0.424, -1.140
6585, -0.320, 0.180, -0.948, -0.140, 0.424, -1.128
6621, -0.320, 0.184, -0.944, -0.144, 0.424, -1.132
6655, -0.320, 0.184, -0.948, -0.132, 0.432, -1.136
6690, -0.324, 0.184, -0.936, -0.144, 0.428, -1.124
6726, -0.324, 0.188, -0.940, -0.136, 0.428, -1.132
6761, -0.324, 0.180, -0.944, -0.136, 0.424, -1.128
6797, -0.324, 0.184, -0.940, -0.140, 0.428, -1.144
6832, -0.320, 0.184, -0.944, -0.144, 0.428, -1.128
6866, -0.324, 0.180, -0.936, -0.140, 0.428, -1.132
6902, -0.320, 0.180, -0.944, -0.144, 0.428, -1.132
6937, -0.324, 0.184, -0.940, -0.136, 0.436, -1.144
6973, -0.320, 0.184, -0.944, -0.140, 0.424, -1.140
7008, -0.324, 0.188, -0.948, -0.132, 0.424, -1.132
7042, -0.324, 0.184, -0.944, -0.148, 0.420, -1.128
7078, -0.324, 0.188, -0.944, -0.144, 0.416, -1.140
7113, -0.320, 0.184, -0.944, -0.140, 0.420, -1.136
7148, -0.324, 0.184, -0.944, -0.140, 0.420, -1.136
7184, -0.324, 0.192, -0.940, -0.140, 0.424, -1.140
7219, -0.320, 0.184, -0.944, -0.140, 0.428, -1.136
7254, -0.320, 0.184, -0.956, -0.144, 0.468, -1.164
7289, -1.500, -1.820, -1.336, -0.276, -0.100, -0.796
7324, -0.328, 0.152, -0.896, -0.128, 0.376, -1.112
7360, -0.328, 0.160, -0.924, -0.144, 0.400, -1.112
7395, -0.336, 0.180, -0.952, -0.136, 0.424, -1.136
7430, -0.328, 0.160, -0.936, -0.136, 0.400, -1.132
7465, -0.332, 0.172, -0.952, -0.136, 0.408, -1.140
7500, -0.332, 0.168, -0.940, -0.140, 0.404, -1.136
7536, -0.332, 0.168, -0.948, -0.132, 0.408, -1.136
7571, -0.332, 0.168, -0.940, -0.140, 0.408, -1.148
7606, -0.332, 0.168, -0.944, -0.140, 0.408, -1.144
7642, -0.332, 0.168, -0.944, -0.132, 0.408, -1.144
7676, -0.332, 0.172, -0.944, -0.140, 0.404, -1.132
7712, -0.332, 0.168, -0.944, -0.124, 0.412, -1.136
7747, -0.328, 0.164, -0.944, -0.144, 0.404, -1.140
7782, -0.332, 0.168, -0.948, -0.132, 0.412, -1.136
7818, -0.336, 0.172, -0.940, -0.140, 0.400, -1.148
7852, -0.332, 0.164, -0.948, -0.148, 0.404, -1.136
7887, -0.336, 0.172, -0.944, -0.140, 0.408, -1.144
7923, -0.332, 0.168, -0.940, -0.140, 0.404, -1.136
7958, -0.324, 0.168, -0.944, -0.140, 0.400, -1.152
7994, -0.332, 0.168, -0.944, -0.136, 0.404, -1.144
8029, -0.332, 0.168, -0.940, -0.136, 0.412, -1.136
8063, -0.328, 0.168, -0.948, -0.136, 0.408, -1.136
8099, -0.332, 0.168, -0.948, -0.140, 0.404, -1.148
8134, -0.332, 0.172, -0.940, -0.136, 0.416, -1.140
8169, -0.328, 0.164, -0.948, -0.140, 0.408, -1.140
8205, -0.332, 0.168, -0.944, -0.128, 0.408, -1.144
8240, -0.332, 0.168, -0.940, -0.136, 0.408, -1.144
8275, -0.328, 0.168, -0.940, -0.140, 0.412, -1.140
8310, -0.332, 0.168, -0.940, -0.140, 0.404, -1.132
8345, -0.332, 0.164, -0.948, -0.132, 0.408, -1.136
8381, -0.336, 0.172, -0.940, -0.144, 0.392, -1.136
8416, -0.332, 0.164, -0.940, -0.136, 0.404, -1.140
8452, -0.332, 0.168, -0.944, -0.132, 0.404, -1.144
8486, -0.332, 0.164, -0.948, -0.132, 0.408, -1.148
8521, -0.332, 0.160, -0.944, -0.144, 0.400, -1.136
8557, -0.332, 0.168, -0.944, -0.136, 0.408, -1.152
8592, -0.332, 0.172, -0.944, -0.136, 0.396, -1.144
8627, -0.332, 0.168, -0.944, -0.136, 0.404, -1.164
8662, -0.332, 0.168, -0.940, -0.144, 0.404, -1.140
8697, -0.332, 0.172, -0.940, -0.136, 0.404, -1.128
8733, -0.332, 0.172, -0.940, -0.136, 0.396, -1.136
8768, -0.332, 0.168, -0.944, -0.128, 0.404, -1.132
8803, -0.332, 0.168, -0.948, -0.132, 0.408, -1.136
8839, -0.336, 0.168, -0.944, -0.140, 0.400, -1.140
8873, -0.336, 0.164, -0.944, -0.136, 0.404, -1.132
8908, -0.332, 0.168, -0.944, -0.136, 0.404, -1.144
8944, -0.332, 0.168, -0.944, -0.132, 0.404, -1.144
8979, -0.332, 0.168, -0.944, -0.144, 0.408, -1.136
9015, -0.336, 0.168, -0.944, -0.144, 0.400, -1.148
9050, -0.328, 0.164, -0.944, -0.140, 0.408, -1.144
9084, -0.332, 0.168, -0.944, -0.136, 0.408, -1.136
9120, -0.332, 0.164, -0.944, -0.132, 0.404, -1.152
9155, -0.332, 0.164, -0.944, -0.144, 0.408, -1.128
9191, -0.328, 0.168, -0.940, -0.136, 0.404, -1.148
9226, -0.332, 0.168, -0.944, -0.148, 0.392, -1.132
9260, -0.332, 0.168, -0.944, -0.136, 0.400, -1.136
9296, -0.332, 0.164, -0.948, -0.132, 0.408, -1.140
9331, -0.332, 0.168, -0.940, -0.136, 0.404, -1.140
9366, -0.336, 0.172, -0.940, -0.136, 0.408, -1.136
9402, -0.328, 0.164, -0.944, -0.136, 0.404, -1.140
9437, -0.332, 0.164, -0.944, -0.136, 0.400, -1.148
9472, -0.332, 0.164, -0.944, -0.140, 0.400, -1.140
9507, -0.328, 0.168, -0.940, -0.136, 0.404, -1.140
9542, -0.336, 0.168, -0.944, -0.132, 0.400, -1.152
9578, -0.336, 0.168, -0.940, -0.140, 0.404, -1.144
9613, -0.332, 0.168, -0.944, -0.132, 0.408, -1.136
9648, -0.336, 0.168, -0.940, -0.132, 0.408, -1.140
9683, -0.332, 0.168, -0.948, -0.128, 0.404, -1.136
9718, -0.332, 0.164, -0.944, -0.132, 0.400, -1.140
9754, -0.336, 0.168, -0.944, -0.136, 0.404, -1.140
9789, -0.332, 0.168, -0.944, -0.136, 0.404, -1.144
9824, -0.336, 0.172, -0.944, -0.132, 0.404, -1.136
9860, -0.332, 0.164, -0.944, -0.136, 0.408, -1.128
9894, -0.328, 0.164, -0.948, -0.144, 0.408, -1.140
9929, -0.332, 0.168, -0.944, -0.128, 0.404, -1.140
9965, -0.328, 0.168, -0.940, -0.132, 0.404, -1.132
10000, -0.332, 0.164, -0.940, -0.136, 0.408, -1.136
10036, -0.328, 0.172, -0.940, -0.136, 0.404, -1.140
10070, -0.336, 0.168, -0.940, -0.132, 0.404, -1.148
10105, -0.332, 0.172, -0.944, -0.140, 0.400, -1.140
10141, -0.332, 0.168, -0.944, -0.136, 0.404, -1.140
10176, -0.336, 0.168, -0.940, -0.128, 0.412, -1.144
10212, -0.332, 0.168, -0.948, -0.144, 0.400, -1.148
10247, -0.332, 0.164, -0.944, -0.132, 0.412, -1.148
10282, -0.332, 0.168, -0.944, -0.136, 0.404, -1.140
10317, -0.328, 0.164, -0.948, -0.136, 0.404, -1.140
10352, -0.332, 0.168, -0.940, -0.136, 0.404, -1.132
10388, -0.336, 0.168, -0.940, -0.128, 0.408, -1.144
10423, -0.328, 0.164, -0.944, -0.136, 0.400, -1.152
10459, -0.332, 0.164, -0.944, -0.136, 0.396, -1.136
