S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
0.112,0.044,-1.044,0.028,-0.044,-1.252
0.128,0.028,-1.044,0.068,-0.028,-1.252
0.048,-0.212,-1.008,0.060,-0.048,-1.244
0.104,-0.212,-1.012,-0.008,-0.004,-1.256
0.008,-0.200,-1.020,0.056,-0.096,-1.240
0.068,-0.064,-1.032,0.044,-0.076,-1.248
0.084,-0.112,-1.020,0.048,-0.044,-1.252
0.116,-0.024,-1.028,0.052,-0.020,-1.252
0.096,-0.032,-1.036,0.028,-0.032,-1.256
0.120,-0.200,-1.008,0.056,-0.048,-1.244
0.096,-0.108,-1.016,0.028,-0.020,-1.244
0.148,-0.120,-1.020,0.044,-0.032,-1.260
0.060,-0.316,-1.000,0.028,-0.004,-1.248
0.044,-0.272,-1.012,0.028,-0.056,-1.252
0.112,-0.084,-1.020,0.032,-0.060,-1.252
0.056,-0.092,-1.024,0.084,0.060,-1.252
0.084,-0.144,-1.008,0.084,0.000,-1.248
-0.012,-0.228,-1.008,0.000,-0.052,-1.260
0.048,-0.332,-0.996,0.036,-0.056,-1.248
0.116,0.028,-1.036,0.060,-0.012,-1.252
0.076,-0.096,-1.024,0.028,-0.024,-1.252
0.076,-0.160,-1.016,0.084,-0.004,-1.244
-0.012,-0.224,-1.016,0.080,-0.044,-1.244
-0.004,-0.248,-1.004,0.004,-0.008,-1.260
0.080,-0.008,-1.048,0.028,-0.044,-1.252
0.112,-0.056,-1.028,0.052,-0.012,-1.248
0.112,-0.052,-1.028,0.016,-0.040,-1.256
0.008,-0.188,-1.012,0.064,-0.016,-1.244
0.068,-0.176,-1.016,0.036,-0.080,-1.248
0.008,-0.188,-1.016,0.064,0.040,-1.252
0.120,0.048,-1.044,0.028,-0.056,-1.252
0.128,0.000,-1.032,0.032,-0.048,-1.256
0.096,-0.116,-1.020,0.040,-0.036,-1.248
0.156,-0.116,-1.020,0.000,-0.028,-1.252
0.060,-0.196,-1.008,0.004,-0.016,-1.260
0.008,-0.144,-1.020,0.052,-0.056,-1.240
0.056,-0.292,-0.996,0.056,0.004,-1.256
0.112,-0.008,-1.028,0.032,-0.064,-1.256
0.104,0.004,-1.028,0.036,-0.052,-1.252
0.032,-0.108,-1.032,0.016,-0.080,-1.248
0.068,-0.192,-1.020,0.008,-0.060,-1.248
0.036,-0.156,-1.028,0.088,0.008,-1.240
0.136,0.076,-1.048,0.032,0.016,-1.260
0.136,0.056,-1.044,0.028,0.000,-1.252
0.056,-0.204,-1.012,0.036,-0.104,-1.248
0.088,-0.176,-1.024,0.020,0.000,-1.248
0.044,-0.136,-1.020,0.008,-0.012,-1.244
0.184,-0.008,-1.028,0.084,-0.012,-1.244
0.128,0.076,-1.052,0.032,0.028,-1.260
0.072,-0.208,-1.008,0.032,-0.004,-1.252
0.056,-0.208,-1.012,0.040,-0.080,-1.248
0.120,-0.200,-1.008,0.068,0.068,-1.252
0.080,-0.092,-1.016,0.068,0.048,-1.244
0.116,-0.160,-1.016,0.008,-0.104,-1.260
0.040,-0.272,-1.000,0.044,0.020,-1.256
0.108,0.012,-1.032,0.064,0.056,-1.252
0.104,-0.020,-1.028,0.012,-0.084,-1.252
0.140,-0.184,-1.008,0.020,-0.048,-1.252
0.116,-0.148,-1.028,0.004,-0.080,-1.256
0.148,-0.096,-1.020,0.068,0.008,-1.236
0.128,0.020,-1.040,0.048,0.004,-1.260
0.052,-0.264,-1.008,0.024,-0.036,-1.252
0.076,-0.140,-1.016,0.032,-0.060,-1.252
0.140,-0.144,-1.020,0.040,-0.016,-1.248
0.056,-0.104,-1.016,0.028,-0.008,-1.248
0.100,-0.156,-1.016,0.072,-0.056,-1.244
0.028,-0.276,-1.000,0.032,0.024,-1.252
0.116,0.048,-1.036,0.036,0.028,-1.256
0.128,-0.012,-1.036,0.040,-0.088,-1.244
0.140,-0.168,-1.012,0.004,0.016,-1.264
0.156,-0.100,-1.016,0.024,0.028,-1.260
0.104,-0.148,-1.012,0.032,-0.072,-1.244
0.044,-0.256,-1.000,0.060,0.000,-1.252
0.056,-0.280,-1.008,0.036,-0.044,-1.248
0.080,-0.012,-1.028,0.024,-0.052,-1.252
0.116,-0.060,-1.024,0.024,-0.096,-1.252
0.020,-0.164,-1.012,0.008,-0.068,-1.248
0.076,-0.160,-1.032,0.092,0.004,-1.244
0.052,-0.108,-1.020,0.032,0.024,-1.256
0.116,0.036,-1.048,0.028,0.008,-1.256
0.116,0.012,-1.040,0.040,-0.112,-1.252
0.008,-0.188,-1.008,0.016,0.004,-1.248
0.068,-0.108,-1.028,0.004,-0.008,-1.252
0.032,-0.128,-1.028,0.084,-0.020,-1.240
0.140,0.044,-1.040,0.036,0.028,-1.260
0.128,0.004,-1.040,0.032,-0.012,-1.260
0.052,-0.152,-1.016,0.044,-0.076,-1.248
0.032,-0.144,-1.028,-0.004,-0.032,-1.252
-0.008,-0.196,-1.024,0.012,0.020,-1.256
0.108,-0.080,-1.032,0.052,-0.096,-1.240
0.080,-0.060,-1.028,0.060,0.048,-1.256
0.112,-0.008,-1.036,0.036,-0.012,-1.256
0.044,-0.256,-1.008,0.048,-0.068,-1.256
0.064,-0.208,-1.004,0.052,0.040,-1.252
0.004,-0.168,-1.020,0.076,0.080,-1.252
0.020,-0.216,-1.012,-0.012,-0.168,-1.256
0.080,-0.048,-1.032,0.052,0.020,-1.240
0.108,0.004,-1.040,0.052,0.028,-1.252
0.088,0.004,-1.036,0.020,-0.064,-1.252
0.096,-0.260,-0.992,0.012,-0.084,-1.256
0.072,-0.204,-1.028,0.008,-0.080,-1.256
0.172,-0.044,-1.016,0.072,0.032,-1.240
0.072,-0.268,-1.000,0.052,-0.036,-1.252
0.068,-0.232,-1.012,0.024,-0.088,-1.248
0.080,-0.212,-1.004,0.044,-0.024,-1.252
0.124,-0.156,-1.020,0.004,-0.092,-1.248
0.124,-0.080,-1.028,0.000,-0.056,-1.252
-0.008,-0.228,-1.000,0.100,0.008,-1.236
0.048,-0.348,-1.004,0.032,0.004,-1.260
0.096,-0.056,-1.020,0.020,-0.032,-1.248
0.108,-0.088,-1.020,0.052,-0.064,-1.244
0.152,-0.124,-1.024,-0.004,-0.044,-1.248
0.044,-0.204,-1.008,0.012,0.012,-1.256
0.092,-0.168,-1.012,0.048,-0.060,-1.244
0.040,-0.220,-1.008,0.060,-0.012,-1.256
0.060,-0.244,-1.008,0.032,-0.056,-1.248
0.112,-0.072,-1.028,0.036,-0.052,-1.248
0.040,-0.076,-1.028,0.000,-0.088,-1.252
0.084,-0.128,-1.016,0.008,-0.028,-1.260
-0.008,-0.228,-1.016,0.064,-0.056,-1.240
0.028,-0.320,-0.992,0.052,0.004,-1.244
0.112,-0.004,-1.036,0.028,-0.036,-1.252
0.108,-0.088,-1.024,0.044,-0.060,-1.252
0.080,-0.104,-1.032,0.052,-0.016,-1.244
0.128,-0.180,-1.004,0.040,-0.052,-1.240
0.136,-0.088,-1.036,0.052,-0.040,-1.252
0.120,-0.160,-1.008,0.008,-0.044,-1.240
0.056,-0.300,-1.000,0.044,0.012,-1.256
0.068,-0.280,-1.008,0.044,-0.032,-1.248
0.128,-0.032,-1.020,0.084,0.056,-1.248
0.160,-0.020,-1.040,0.076,0.008,-1.252
0.044,-0.228,-1.012,-0.004,-0.048,-1.260
0.024,-0.176,-1.004,0.032,-0.072,-1.252
0.060,-0.224,-1.008,0.052,-0.016,-1.248
0.128,0.044,-1.044,0.028,-0.016,-1.252
0.152,-0.044,-1.024,0.088,0.016,-1.236
0.020,-0.224,-1.016,0.084,-0.016,-1.248
0.020,-0.136,-1.028,-0.008,-0.020,-1.256
0.032,-0.188,-1.008,0.040,-0.060,-1.244
0.120,0.044,-1.052,0.048,-0.012,-1.252
0.132,-0.032,-1.024,0.024,-0.040,-1.248
0.100,-0.168,-1.016,0.008,-0.040,-1.260
-0.004,-0.180,-1.020,0.028,-0.084,-1.248
0.044,-0.180,-1.012,0.072,0.048,-1.252
0.040,-0.168,-1.012,0.084,0.088,-1.252
0.068,-0.236,-1.004,0.028,-0.040,-1.256
0.116,0.040,-1.040,0.048,-0.020,-1.252
0.112,-0.020,-1.032,0.008,-0.100,-1.248
0.008,-0.196,-1.020,0.056,-0.008,-1.244
0.088,-0.148,-1.028,0.024,-0.056,-1.252
0.060,-0.080,-1.032,0.060,-0.004,-1.256
0.128,0.052,-1.048,0.052,0.012,-1.252
0.132,0.012,-1.044,0.024,-0.048,-1.252
0.008,-0.196,-1.012,0.004,-0.080,-1.248
0.040,-0.120,-1.032,0.040,-0.048,-1.248
0.004,-0.184,-1.024,0.064,0.024,-1.252
0.120,0.020,-1.040,0.072,0.052,-1.244
0.124,0.004,-1.040,0.040,-0.004,-1.256
0.088,-0.100,-1.028,0.028,-0.064,-1.252
0.028,-0.216,-1.020,0.020,-0.092,-1.252
-0.016,-0.232,-1.016,0.016,-0.016,-1.256
0.096,-0.080,-1.028,0.072,-0.036,-1.240
0.072,-0.068,-1.028,0.076,-0.012,-1.236
0.124,0.048,-1.048,0.032,0.032,-1.252
0.048,-0.268,-1.012,0.036,-0.084,-1.244
0.020,-0.196,-1.020,0.032,-0.116,-1.248
0.108,-0.112,-1.024,0.020,-0.008,-1.252
0.076,-0.116,-1.028,0.076,-0.048,-1.252
0.152,0.008,-1.028,0.076,-0.012,-1.244
0.052,-0.312,-1.004,0.040,0.044,-1.248
0.048,-0.224,-1.016,0.036,-0.100,-1.244
0.100,-0.164,-1.016,0.032,-0.124,-1.256
0.048,-0.136,-1.024,0.004,0.000,-1.248
0.180,-0.016,-1.028,0.072,-0.068,-1.240
0.084,-0.208,-1.004,0.060,-0.052,-1.244
0.080,-0.148,-1.020,0.036,0.044,-1.256
0.048,-0.260,-1.000,0.032,-0.100,-1.248
0.048,-0.208,-1.024,0.040,-0.104,-1.244
0.172,-0.040,-1.024,0.008,0.004,-1.256
0.092,-0.136,-1.008,0.076,-0.072,-1.240
0.124,-0.132,-1.024,0.064,-0.076,-1.232
0.044,-0.332,-0.992,0.036,0.040,-1.256
0.044,-0.268,-1.012,0.036,-0.104,-1.252
0.152,-0.100,-1.016,0.052,-0.096,-1.244
0.128,-0.104,-1.020,0.004,0.028,-1.256
0.168,-0.052,-1.024,0.064,-0.108,-1.240
0.036,-0.272,-1.000,0.044,-0.116,-1.240
0.056,-0.280,-1.004,0.040,0.008,-1.256
0.068,-0.184,-1.012,0.052,-0.080,-1.252
0.148,-0.024,-1.024,0.044,-0.092,-1.248
0.100,-0.060,-1.036,0.068,0.072,-1.252
0.156,-0.104,-1.012,-0.012,-0.176,-1.256
0.128,0.020,-1.040,-0.004,-0.176,-1.248
0.072,-0.244,-1.012,0.052,0.008,-1.252
0.064,-0.208,-1.004,0.016,-0.088,-1.256
0.108,-0.212,-1.004,0.048,0.000,-1.248
0.080,-0.040,-1.028,0.028,-0.040,-1.252
0.108,-0.072,-1.028,0.056,0.000,-1.244
0.004,-0.292,-1.004,0.024,-0.040,-1.248
0.096,0.024,-1.044,0.032,-0.084,-1.248
0.104,-0.028,-1.036,0.052,-0.008,-1.256
0.112,-0.096,-1.024,0.064,0.024,-1.252
0.168,-0.108,-1.012,0.056,0.000,-1.256
0.036,-0.216,-1.012,0.008,-0.112,-1.248
0.024,-0.132,-1.024,0.000,-0.128,-1.252
0.064,-0.232,-1.004,0.032,-0.040,-1.252
0.120,-0.004,-1.032,0.024,-0.024,-1.248
0.064,-0.004,-1.040,0.036,0.036,-1.256
0.100,-0.148,-1.028,0.004,-0.160,-1.252
