S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
0.092,-0.196,-1.012,0.028,-0.028,-1.260
0.104,-0.176,-1.012,0.052,-0.020,-1.248
0.076,-0.096,-1.028,0.036,-0.072,-1.248
0.024,-0.152,-1.020,0.068,0.036,-1.256
0.020,-0.192,-1.020,-0.020,-0.132,-1.252
0.032,-0.176,-1.016,0.000,-0.116,-1.252
0.068,-0.196,-1.012,0.060,-0.012,-1.244
0.096,0.000,-1.044,0.028,-0.036,-1.248
0.128,-0.040,-1.020,0.032,-0.052,-1.244
-0.008,-0.260,-1.020,0.076,0.036,-1.252
0.064,-0.132,-1.024,-0.016,-0.140,-1.252
0.048,-0.120,-1.020,-0.004,-0.120,-1.256
0.116,-0.024,-1.036,0.048,0.044,-1.252
0.084,-0.036,-1.032,0.036,-0.068,-1.244
0.040,-0.196,-1.016,0.072,-0.012,-1.248
0.144,-0.068,-1.028,0.028,0.012,-1.248
0.112,-0.080,-1.032,0.032,-0.060,-1.240
0.140,-0.076,-1.016,0.004,-0.100,-1.252
0.108,-0.072,-1.036,0.032,-0.032,-1.248
0.080,-0.208,-1.012,0.028,-0.040,-1.260
0.060,-0.068,-1.028,0.024,-0.004,-1.256
0.096,-0.044,-1.032,0.024,-0.080,-1.240
-0.012,-0.240,-1.004,0.084,0.044,-1.248
0.044,-0.320,-1.004,0.084,0.060,-1.252
0.084,-0.076,-1.024,0.028,-0.064,-1.252
0.104,-0.060,-1.024,0.040,-0.004,-1.244
0.072,-0.096,-1.028,0.012,-0.060,-1.260
-0.008,-0.244,-1.020,0.036,-0.084,-1.244
-0.020,-0.264,-1.004,0.068,0.052,-1.260
0.088,-0.016,-1.056,0.076,0.072,-1.256
0.116,-0.072,-1.024,0.036,-0.056,-1.256
0.120,-0.104,-1.024,0.040,-0.056,-1.248
0.036,-0.136,-1.024,0.068,0.020,-1.256
0.096,-0.120,-1.016,0.000,-0.084,-1.252
0.000,-0.212,-1.020,0.008,-0.064,-1.256
0.076,-0.108,-1.024,0.044,-0.032,-1.244
0.080,-0.124,-1.016,0.028,-0.024,-1.256
0.108,-0.048,-1.036,0.032,-0.004,-1.256
0.048,-0.112,-1.032,0.004,-0.112,-1.248
0.112,-0.164,-1.020,0.052,-0.008,-1.240
0.144,-0.048,-1.016,0.048,0.008,-1.248
0.136,-0.012,-1.036,0.068,-0.016,-1.256
0.072,-0.240,-1.012,0.040,-0.004,-1.256
0.060,-0.192,-1.020,0.044,-0.024,-1.252
0.028,-0.132,-1.036,0.064,0.008,-1.256
0.108,-0.132,-1.016,-0.004,-0.088,-1.248
0.064,-0.160,-1.024,0.000,-0.084,-1.256
0.136,-0.032,-1.036,0.040,-0.012,-1.248
0.112,-0.032,-1.032,0.028,-0.036,-1.252
0.076,-0.140,-1.028,0.036,-0.020,-1.252
0.104,-0.212,-1.008,0.076,0.008,-1.252
0.052,-0.176,-1.016,-0.008,-0.052,-1.256
0.180,-0.012,-1.020,0.000,-0.040,-1.252
0.128,0.040,-1.044,0.052,-0.048,-1.244
0.084,-0.168,-1.016,0.024,-0.040,-1.260
0.056,-0.200,-1.020,0.024,-0.040,-1.252
0.020,-0.180,-1.028,0.084,0.032,-1.252
0.132,-0.092,-1.012,0.024,-0.024,-1.256
0.092,-0.116,-1.032,0.040,-0.036,-1.256
0.144,-0.032,-1.028,0.016,-0.068,-1.248
0.068,-0.232,-1.008,0.032,-0.052,-1.252
0.084,-0.180,-1.016,0.036,-0.036,-1.248
0.044,-0.120,-1.028,0.008,-0.020,-1.252
0.088,-0.084,-1.028,0.036,-0.072,-1.248
0.000,-0.208,-1.016,0.024,-0.060,-1.248
0.084,-0.048,-1.032,0.084,0.044,-1.256
0.088,-0.088,-1.024,0.032,-0.040,-1.256
0.104,-0.080,-1.028,0.036,-0.056,-1.256
0.156,-0.108,-1.020,0.060,0.004,-1.256
0.068,-0.152,-1.012,-0.008,-0.104,-1.252
0.008,-0.180,-1.020,-0.008,-0.096,-1.256
0.044,-0.240,-1.008,0.056,0.016,-1.248
0.084,-0.088,-1.028,0.024,-0.068,-1.252
0.096,-0.132,-1.016,0.024,-0.060,-1.252
0.136,-0.072,-1.024,0.084,0.020,-1.244
0.032,-0.168,-1.012,0.036,0.004,-1.252
0.080,-0.128,-1.024,0.052,0.004,-1.260
0.020,-0.248,-1.008,0.004,-0.112,-1.248
0.056,-0.244,-1.004,0.036,-0.024,-1.252
0.088,-0.072,-1.024,0.040,-0.004,-1.252
0.048,-0.116,-1.024,0.064,0.052,-1.256
0.016,-0.192,-1.020,0.000,-0.092,-1.256
0.080,-0.184,-1.028,-0.012,-0.108,-1.252
0.036,-0.136,-1.024,0.060,-0.008,-1.244
0.108,0.012,-1.044,0.020,-0.076,-1.252
0.068,-0.192,-1.016,0.024,-0.072,-1.248
0.064,-0.196,-1.004,0.040,-0.012,-1.248
0.148,-0.084,-1.024,0.004,-0.108,-1.248
0.124,-0.104,-1.024,-0.012,-0.120,-1.256
0.160,-0.080,-1.016,0.100,0.084,-1.240
0.052,-0.300,-1.004,0.024,-0.068,-1.252
0.060,-0.204,-1.016,0.020,-0.100,-1.252
0.132,-0.100,-1.020,0.036,-0.020,-1.256
0.132,-0.072,-1.028,0.004,-0.120,-1.244
0.148,-0.084,-1.016,-0.004,-0.124,-1.252
0.016,-0.220,-1.004,0.092,0.080,-1.248
0.076,-0.240,-1.016,0.028,-0.052,-1.244
0.080,-0.124,-1.016,0.024,-0.088,-1.256
0.048,-0.092,-1.032,0.048,-0.052,-1.248
0.040,-0.188,-1.024,0.068,0.036,-1.256
0.140,-0.096,-1.016,0.084,0.060,-1.256
0.088,-0.028,-1.040,-0.012,-0.120,-1.252
0.116,-0.056,-1.028,0.060,-0.012,-1.248
0.100,-0.064,-1.032,0.064,-0.012,-1.244
0.084,-0.256,-1.008,0.060,0.004,-1.252
0.156,-0.032,-1.036,0.036,0.000,-1.244
0.184,0.004,-1.024,0.044,-0.004,-1.256
0.096,-0.176,-1.016,-0.004,-0.120,-1.248
0.104,-0.156,-1.008,0.040,0.000,-1.248
0.052,-0.208,-1.008,0.048,0.020,-1.256
0.060,-0.040,-1.032,0.044,-0.008,-1.256
0.060,-0.088,-1.020,0.004,-0.068,-1.244
0.012,-0.232,-1.008,-0.008,-0.096,-1.244
0.028,-0.280,-1.004,0.088,0.040,-1.240
0.100,0.012,-1.036,0.048,-0.032,-1.244
0.092,-0.020,-1.036,0.020,-0.064,-1.248
0.060,-0.164,-1.020,0.012,-0.076,-1.248
0.116,-0.156,-1.000,0.020,-0.028,-1.244
0.088,-0.152,-1.036,0.056,-0.044,-1.252
0.180,0.000,-1.024,0.072,0.052,-1.256
0.124,0.016,-1.044,0.048,-0.004,-1.248
0.060,-0.236,-1.016,0.040,-0.072,-1.252
0.108,-0.096,-1.020,0.020,-0.040,-1.248
0.156,-0.040,-1.032,0.000,-0.092,-1.252
0.092,-0.112,-1.020,0.096,0.020,-1.240
0.136,-0.132,-1.008,0.000,-0.084,-1.256
0.048,-0.288,-1.008,0.028,-0.036,-1.252
0.104,-0.036,-1.028,0.060,0.008,-1.244
0.100,-0.024,-1.024,0.056,-0.016,-1.256
0.008,-0.208,-1.032,0.032,-0.080,-1.244
0.008,-0.236,-1.000,0.052,0.028,-1.260
0.040,-0.128,-1.024,-0.016,-0.136,-1.252
0.116,0.036,-1.052,0.028,-0.060,-1.260
0.120,-0.044,-1.028,0.048,0.036,-1.248
0.108,-0.188,-1.008,0.004,-0.096,-1.248
0.140,-0.140,-1.012,0.024,-0.044,-1.256
0.108,-0.052,-1.020,0.028,-0.024,-1.236
0.000,-0.248,-1.020,0.080,0.016,-1.252
0.052,-0.288,-0.996,0.048,-0.036,-1.248
0.084,-0.100,-1.016,0.024,-0.060,-1.252
0.140,-0.080,-1.020,0.008,-0.088,-1.256
